사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 2계 2020-6221,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 채권자 메리츠캐피탈에게 보관,"100,000,000","49,000,000",낙찰,"63,750,000",63.7%,2021-07-05,2021_3Q,3
대전 6계 2020-6467,단독주택,단독,단독주택,세종,세종시,세종 세종시 장군면 대교리 326-6,"302,356,440","148,155,000",낙찰,"191,111,000",63.2%,2021-08-25,2021_3Q,3
대전 7계 2020-6634,임야,임야,임야,세종,세종시,세종 세종시 전의면 유천리 산134,"344,729,000","118,242,000",낙찰,"153,939,000",44.7%,2021-10-12,2021_4Q,3
대전 5계 2020-7071,다가구,다가구,다가구,세종,세종시,세종 세종시 조치원읍 서창리 42-260 1동,"784,694,640","384,500,000",낙찰,"612,100,000",78.0%,2021-07-21,2021_3Q,3
대전 8계 2020-8234,임야,임야,임야,세종,세종시,세종 세종시 금남면 원봉리 99-29,"1,012,302,000","708,611,000",낙찰,"802,999,000",79.3%,2021-09-06,2021_3Q,3
대전 9계 2020-8715,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 보람동 711 금강베네치아 4층 407호,"466,000,000","228,340,000",낙찰,"311,000,000",66.7%,2021-11-02,2021_4Q,3
대전 6계 2020-11490,다세대,다세대주택,다세대,세종,세종시,"세종 세종시 전의면 관정리 262-1 ,259-2,262-11,259-14 정원빌리지 1동 2층 202호","58,000,000","40,600,000",낙찰,"46,520,000",80.2%,2021-08-25,2021_3Q,3
대전 9계 2020-11520,다세대,다세대주택,다세대,세종,세종시,"세종 세종시 전의면 관정리 262-1 ,-11,259-2,-14 정원빌리지 1동 4층 401호","62,000,000","30,380,000",낙찰,"30,382,000",49.0%,2021-09-28,2021_3Q,3
대전 5계 2020-11568,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 한솔동 927 한솔빌딩 1동 2층 203호,"492,000,000","241,080,000",낙찰,"339,000,000",68.9%,2021-07-21,2021_3Q,3
대전 5계 2020-12547,임야,임야,임야,세종,세종시,세종 세종시 부강면 행산리 산25,"13,697,940","9,589,000",낙찰,"11,100,000",81.0%,2021-07-21,2021_3Q,3
대전 7계 2020-13458(2),전,전,전,세종,세종시,세종 세종시 연서면 청라리 155-1,"31,433,000","31,433,000",낙찰,"35,525,600",113.0%,2021-07-20,2021_3Q,3
대전 8계 2020-13786,단독주택,단독,단독주택,세종,세종시,세종 세종시 부강면 문곡리 849-12 1동,"222,598,280","155,819,000",낙찰,"156,900,000",70.5%,2021-12-20,2021_4Q,3
대전 9계 2020-13946(1),임야,임야,임야,세종,세종시,세종 세종시 장군면 송문리 232-11,"60,481,500","42,337,000",낙찰,"48,687,990",80.5%,2021-07-06,2021_3Q,3
대전 9계 2020-13946(2),임야,임야,임야,세종,세종시,세종 세종시 장군면 송문리 232-12,"54,036,750","37,826,000",낙찰,"45,391,900",84.0%,2021-07-06,2021_3Q,3
