사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
군산 1계 2021-1924,답,답,답,전북,군산시,전북 군산시 산북동 2385-1,"423,658,800","207,593,000",낙찰,"254,000,000",60.00%,2022-03-28,2022_1Q,3
군산 2계 2021-1931,답,답,답,전북,군산시,전북 군산시 산북동 2267-1,"188,404,000","92,318,000",낙찰,"108,800,000",57.70%,2022-05-02,2022_2Q,3
군산 3계 2021-1948,답,답,답,전북,군산시,전북 군산시 산북동 2267,"186,000,000","91,140,000",낙찰,"117,300,000",63.10%,2022-01-17,2022_1Q,3
군산 4계 2021-1955,답,답,답,전북,군산시,전북 군산시 산북동 2386-1,"369,450,000","181,031,000",낙찰,"233,290,000",63.10%,2022-01-10,2022_1Q,3
군산 5계 2021-1962,전,전,전,전북,익산시,전북 익산시 금강동 431-2,"802,768,000","561,938,000",낙찰,"575,000,000",71.60%,2022-03-14,2022_1Q,3
군산 4계 2021-2057,답,답,답,전북,군산시,전북 군산시 산북동 3195,"237,731,100","116,488,000",낙찰,"156,220,000",65.70%,2022-02-21,2022_1Q,3
군산 5계 2021-2064,답,답,답,전북,군산시,전북 군산시 산북동 2744,"376,884,000","184,673,000",낙찰,"237,500,000",63.00%,2022-02-07,2022_1Q,3
군산 1계 2021-2071,답,답,답,전북,군산시,전북 군산시 산북동 2231-1,"184,725,000","90,516,000",낙찰,"95,119,000",51.50%,2022-03-28,2022_1Q,3
군산 2계 2021-2088(1),답,답,답,전북,군산시,전북 군산시 산북동 3309-1,"178,488,000","87,459,000",낙찰,"119,990,000",67.20%,2022-05-02,2022_2Q,3
군산 2계 2021-2088(2),답,답,답,전북,군산시,전북 군산시 산북동 3309-2,"178,488,000","87,459,000",낙찰,"99,900,000",56.00%,2022-05-02,2022_2Q,3
군산 2계 2021-2187(1),답,답,답,전북,군산시,전북 군산시 산북동 2082-1,"202,560,000","99,254,000",낙찰,"136,953,000",67.60%,2022-03-21,2022_1Q,3
군산 2계 2021-2187(2),답,답,답,전북,군산시,전북 군산시 산북동 2082-2,"202,800,000","99,372,000",낙찰,"139,110,000",68.60%,2022-03-21,2022_1Q,3
군산 2계 2021-2187(3),답,답,답,전북,군산시,전북 군산시 산북동 3302,"357,048,000","174,954,000",낙찰,"237,228,000",66.40%,2022-03-21,2022_1Q,3
군산 3계 2021-2194,답,답,답,전북,군산시,전북 군산시 산북동 3193,"690,064,000","338,132,000",낙찰,"448,500,000",65.00%,2022-02-28,2022_1Q,3
군산 4계 2021-2200(1),답,답,답,전북,군산시,전북 군산시 산북동 3241,"328,190,000","160,813,000",낙찰,"206,800,000",63.00%,2022-02-21,2022_1Q,3
군산 4계 2021-2200(2),답,답,답,전북,군산시,전북 군산시 산북동 2743,"376,884,000","184,673,000",낙찰,"237,100,000",62.90%,2022-02-21,2022_1Q,3
군산 5계 2021-2217(1),답,답,답,전북,군산시,전북 군산시 산북동 2174,"349,575,000","171,292,000",낙찰,"235,329,000",67.30%,2022-03-14,2022_1Q,3
군산 5계 2021-2217(2),답,답,답,전북,군산시,전북 군산시 산북동 2739-1,"376,808,000","184,636,000",낙찰,"238,818,000",63.40%,2022-03-14,2022_1Q,3
