사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 8계 2024-8911,다세대,다세대주택,다세대,충남,금산군,충남 금산군 금산읍 상옥리 130 다솔패리스 2동 4층 비402호,"168,000,000","117,600,000",낙찰,"118,240,000",70.4%,2025-04-03,2025_2Q,2
대전 4계 2024-9464,전,전,전,충남,금산군,충남 금산군 금산읍 하옥리 437,"86,353,200","42,313,000",낙찰,"43,500,000",50.4%,2025-06-05,2025_2Q,2
대전 7계 2024-11122,다세대,다세대주택,다세대,충남,금산군,충남 금산군 금산읍 아인리 626-4 다솜빌 A동 2층 201호,"110,000,000","77,000,000",낙찰,"77,120,000",70.1%,2025-05-20,2025_2Q,2
대전 7계 2024-11870,도로,기타토지,기타토지,충남,금산군,충남 금산군 군북면 동편리 224-13,"3,300,000","2,125,000",낙찰,"2,310,000",70.0%,2025-06-24,2025_2Q,2
대전 12계 2024-100091,단독주택,단독,단독주택,충남,금산군,충남 금산군 복수면 용진리 614-2,"19,194,000","2,258,000",낙찰,"3,369,000",17.6%,2025-05-13,2025_2Q,2
대전 12계 2024-100305,전,전,전,충남,금산군,충남 금산군 남일면 상동리 596-1,"275,436,000","94,475,000",낙찰,"102,600,000",37.3%,2025-04-01,2025_2Q,2
대전 5계 2024-100565,전,전,전,충남,금산군,충남 금산군 남이면 구석리 3,"19,159,500","6,572,000",낙찰,"6,810,000",35.5%,2025-01-15,2025_1Q,3
대전 11계 2024-100657,임야,임야,임야,충남,금산군,충남 금산군 금성면 하신리 394-5,"201,605,500","69,150,000",낙찰,"69,500,000",34.5%,2025-05-29,2025_2Q,2
대전 6계 2024-100879,임야,임야,임야,충남,금산군,충남 금산군 남일면 황풍리 산56,"23,870,800","21,995,000",낙찰,"25,500,000",106.8%,2025-04-22,2025_2Q,2
대전 9계 2024-103328,답,답,답,충남,금산군,충남 금산군 제원면 천내리 507,"143,775,000","70,450,000",낙찰,"82,888,800",57.7%,2025-04-02,2025_2Q,2
대전 8계 2024-104475,단독주택,단독,단독주택,충남,금산군,"충남 금산군 금산읍 양지리 208-7 ,208-9,208-11","218,693,500","107,160,000",낙찰,"135,620,000",62.0%,2025-02-27,2025_1Q,3
대전 9계 2024-104512,아파트,아파트,아파트,충남,금산군,충남 금산군 금산읍 상리 274 주공 108동 1층 104호,"24,600,000","17,220,000",낙찰,"22,140,000",90.0%,2025-06-11,2025_2Q,2
대전 6계 2024-104963,전,전,전,충남,금산군,충남 금산군 추부면 성당리 735-1,"104,673,000","25,132,000",낙찰,"31,000,000",29.6%,2025-04-22,2025_2Q,2
대전 4계 2024-104994,전,전,전,충남,금산군,충남 금산군 추부면 성당리 738-1,"28,980,000","3,410,000",낙찰,"5,600,000",19.3%,2025-05-01,2025_2Q,2
대전 8계 2024-105294,답,답,답,충남,금산군,충남 금산군 금산읍 양지리 263,"107,028,900","52,444,000",낙찰,"70,000,000",65.4%,2025-01-23,2025_1Q,3
대전 12계 2024-107467,아파트,아파트,아파트,충남,금산군,"충남 금산군 금산읍 중도리 21-21 ,21-18 낙원 101동 3층 305호","58,000,000","40,600,000",낙찰,"46,370,000",79.9%,2025-02-25,2025_1Q,3
대전 10계 2024-108538,대지,나대지,나대지,충남,금산군,충남 금산군 제원면 제원리 150-28,"71,561,700","35,065,000",낙찰,"36,575,000",51.1%,2025-05-22,2025_2Q,2
대전 8계 2024-109937,임야,임야,임야,충남,금산군,충남 금산군 추부면 추정리 산6-1,"90,679,290","21,772,000",낙찰,"23,510,000",25.9%,2025-05-08,2025_2Q,2
대전 4계 2024-110098,대지,나대지,나대지,충남,금산군,충남 금산군 제원면 천내리 54,"34,125,000","16,722,000",낙찰,"17,001,000",49.8%,2025-02-20,2025_1Q,3
대전 6계 2024-111206,대지,나대지,나대지,충남,금산군,충남 금산군 금성면 상가리 15-2,"69,312,000","33,963,000",낙찰,"34,510,000",49.8%,2025-04-22,2025_2Q,2
대전 2계 2024-111275,축사,기타토지,기타토지,충남,금산군,충남 금산군 제원면 구억리 200-3 주1동,"229,041,000","38,495,000",낙찰,"39,990,000",17.5%,2025-06-16,2025_2Q,2
