사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
제주 2계 2003-6301,아파트,제주 제주시 노형동 2532-1 이화 7층 805호,"65,000,000","45,500,000",낙찰(1/2),"54,700,000",84.2%,2003.12.08
제주 3계 2003-6318(2),임야,제주 제주시 애월읍 광령리 1987,"26,275,000","12,875,000",취하(2/2),0,0%,2003.11.24
제주 1계 2003-6325(1),대지,제주 서귀포시 표선면 성읍리 921-1,"19,320,000","19,320,000",취하(0/0),0,0%,2003.10.06
제주 3계 2003-6349,전,제주 제주시 한경면 고산리 2881-1,"91,250,000","91,250,000",취하(0/0),0,0%,2003.09.15
제주 1계 2003-6356,대지,제주 제주시 애월읍 고성리 1490-1,"19,881,000","19,881,000",낙찰(0/1),"23,000,000",115.7%,2003.09.01
제주 2계 2003-6363,아파트,제주 제주시 도남동 70 수선화 가동 3층 302호,"50,000,000","35,000,000",낙찰(1/2),"43,530,000",87.1%,2003.12.08
제주 1계 2003-6387,단독주택,제주 서귀포시 표선면 표선리 604 <2호>,"154,258,340","75,587,000",낙찰(2/3),"75,700,000",49.1%,2003.12.15
제주 2계 2003-6394,대지,제주 제주시 연동 284-8,"196,775,000","196,775,000",낙찰(0/1),"210,300,000",106.9%,2003.11.03
제주 1계 2003-6424,과수원,제주 서귀포시 남원읍 태흥리 1528,"179,908,200","179,908,200",취하(0/0),0,0%,2003.10.06
제주 3계 2003-6431(1),전,제주 제주시 삼양일동 1327-1,"115,440,000","115,440,000",낙찰(0/1),"139,500,000",120.8%,2003.10.20
제주 3계 2003-6431(2),답,제주 제주시 애월읍 하귀1리 483-4,"19,620,000","19,620,000",낙찰(0/1),"35,500,000",180.9%,2003.10.20
