사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
충주 3계 2007-7009,아파트,"충북 충주시 연수동 700 ,금능동60 두진 202동 2층 208호","80,000,000","45,000,000",낙찰(2/4),"61,000,000",76.3%,2008.12.02
충주 2계 2007-7016,단독주택,충북 충주시 용산동 1399,"80,476,980","45,269,000",낙찰(2/3),"48,000,000",59.6%,2008.08.12
충주 2계 2007-7092,임야,충북 충주시 산척면 송강리 산210,"164,945,000","123,709,000",낙찰(1/2),"157,890,000",95.7%,2008.07.08
충주 1계 2007-7115,아파트,"충북 충주시 금릉동 60-6 ,연수동701-7,700-4,700-11 두진3차임대 303동 3층 302호","50,000,000","37,500,000",낙찰(1/2),"41,390,000",82.8%,2008.08.26
충주 3계 2007-7139(1),아파트상가,충북 음성군 금왕읍 무극리 661 두진백로 상가동 1층 101호,"33,000,000","18,563,000",낙찰(2/4),"20,222,000",61.3%,2008.07.15
충주 2계 2007-7184,임야,충북 음성군 맹동면 마산리 13-6,"281,448,000","281,448,000",낙찰(0/1),"330,000,000",117.3%,2008.07.08
충주 2계 2007-7214,아파트,충북 음성군 대소면 삼정리 610-5 외 3필지 기흥2차 101동 5층 503호,"110,000,000","82,500,000",낙찰(1/3),"103,270,000",93.9%,2008.08.12
충주 2계 2007-7276,단독주택,충북 음성군 금왕읍 유촌리 375-1,"38,069,920","38,069,920",낙찰(0/1),"38,070,000",100.0%,2008.07.08
충주 2계 2007-7368,아파트,충북 충주시 연수동 421-7 하나 5동 13층 1307호,"95,000,000","71,250,000",낙찰(1/2),"71,300,000",75.1%,2008.07.08
충주 2계 2007-7399,아파트,충북 음성군 감곡면 오향리 409-1 삼성푸른 102동 2층 201호,"60,000,000","60,000,000",취하(0/0),0,0%,2008.07.08
충주 2계 2007-7450,연립,"충북 충주시 안림동 410-5 , 5, 440-7, 442-1, 442-2 보성꿈에본 3차 302동 2층 202호","320,000,000","240,000,000",기각(2/2),0,0%,2008.07.25
충주 2계 2007-7511,도로,충북 음성군 삼성면 양덕리 산54-1,"17,101,000","9,620,000",낙찰(2/5),"9,651,000",56.4%,2008.12.30
충주 2계 2007-7559(1),과수원,충북 충주시 중앙탑면 탑평리 117-1,"1,760,920,000","1,320,690,000",낙찰(1/2),"1,511,900,000",85.9%,2008.07.08
충주 2계 2007-7559(2),과수원,충북 충주시 중앙탑면 탑평리 117-43,"503,860,000","377,895,000",낙찰(1/4),"405,000,000",80.4%,2008.11.25
충주 2계 2007-7559(3),과수원,충북 충주시 중앙탑면 탑평리 117-61,"1,320,480,000","742,770,000",낙찰(2/3),"940,000,000",71.2%,2008.08.12
충주 2계 2007-7603,아파트,충북 충주시 연수동 686 연수주공(4)단지 406동 11층 1102호,"73,000,000","54,750,000",낙찰(1/2),"67,510,000",92.5%,2008.07.08
충주 3계 2007-7672,근린상가,"충북 충주시 목행동 526-29 청과물소매시장 에이동 3,4층 303호","50,000,000","21,094,000",낙찰(3/4),"25,600,000",51.2%,2008.07.15
충주 2계 2007-7696,단독주택,충북 충주시 앙성면 용포리 10-1,"127,304,250","95,478,000",취하(1/1),0,0%,2008.07.08
충주 2계 2007-7757,대지,충북 음성군 감곡면 문촌리 539,"40,017,400","30,013,000",낙찰(1/3),"40,020,000",100.0%,2008.09.16
충주 2계 2007-7788,아파트,"충북 음성군 음성읍 읍내리 805 ,805-1 한성진주 106동 12층 1202호","45,000,000","33,750,000",낙찰(1/2),"40,700,000",90.4%,2008.09.16
충주 2계 2007-7870(1),전,충북 충주시 금가면 월상리 454-2,"121,126,000","121,126,000",취하(1/1),0,0%,2008.09.02
충주 2계 2007-7870(2),전,충북 충주시 금가면 월상리 454-14,"224,865,000","224,865,000",낙찰(0/1),"316,399,600",140.7%,2008.07.08
충주 2계 2007-7900(2),단독주택,충북 충주시 주덕읍 신양리 225-8,"102,402,120","32,402,000",낙찰(4/5),"36,550,000",35.7%,2008.11.25
충주 1계 2007-7986(1),임야,충북 음성군 음성읍 삼생리 산37-1,"91,637,000","68,728,000",취하(1/2),0,0%,2008.10.15
충주 1계 2007-7986(2),답,충북 음성군 원남면 삼용리 417,"27,846,000","20,885,000",낙찰(1/2),"25,200,000",90.5%,2008.07.22
충주 1계 2007-7986(3),전,충북 음성군 음성읍 삼생리 424-1,"13,216,000","9,912,000",낙찰(1/2),"18,010,000",136.3%,2008.08.26
