사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
울산 3계 2000-29969,연립,경남 양산시 평산동 391,"30,000,000","19,200,000",낙찰(2/3),"21,500,000",71.7%,2001.02.16
울산 6계 2000-30211,묘지,경남 양산시 동면 석산리 590,"20,191,000","10,337,792",낙찰(3/4),"13,000,000",64.4%,2001.01.03
울산 7계 2000-30242,단독주택,경남 양산시 물금읍 가촌리 509-2,"51,510,790","32,966,900",낙찰(2/3),"33,000,000",64.1%,2001.04.25
울산 8계 2000-30259,단독주택,경남 양산시 물금읍 중산리 503-81,"48,446,700","24,804,700",낙찰(3/4),"31,100,000",64.2%,2001.06.22
울산 9계 2000-30280,중기,경남 양산시 어곡동 산385-1 (주)거란공사현장내,"50,000,000","20,480,000",낙찰(4/5),"20,600,000",41.2%,2001.04.11
울산 8계 2000-30419,대지,경남 양산시 주진동 626,"85,568,000","22,431,120",낙찰(6/7),"30,200,000",35.3%,2001.06.22
울산 7계 2000-30433,아파트,경남 양산시 상북면 소토리 908 대우마리나아파트 102동 1층 104호,"90,000,000",0,낙찰(2/3),"53,100,000",59.0%,2001.02.28
울산 7계 2000-30433,아파트상가,경남 양산시 상북면 소토리 908 대우마리나아파트 105동 301호,"364,000,000","76,336,320",낙찰(4/6),"91,100,000",25.0%,2001.06.27
울산 2계 2000-30457,아파트,경남 양산시 평산동 51-5,"33,000,000","16,896,000",낙찰(3/4),"21,630,000",65.5%,2001.01.11
울산 4계 2000-30525,답,경남 양산시 상북면 소토리 320,"122,840,000","98,272,000",낙찰(1/2),"108,570,000",88.4%,2001.01.26
울산 1계 2000-30723,근린상가,경남 양산시 중부동 420-11,"662,645,120","530,116,090",낙찰(1/2),"612,000,000",92.4%,2001.02.08
울산 3계 2000-30747,공장,경남 양산시 원동면 화제리 1692-1,"266,516,050","213,212,840",취하(1/1),0,0%,2001.06.05
울산 8계 2000-30877,답,경남 양산시 삼호동 290,"55,590,000","55,590,000",낙찰(0/1),"70,000,000",125.9%,2001.03.23
울산 7계 2000-32262(6),임야,경남 양산시 상북면 소석리 150-1,"62,632,000",0,낙찰(2/3),"41,110,000",65.6%,2001.04.25
울산 7계 2000-32262(7),임야,경남 양산시 상북면 소석리 150-3,"2,095,800","858,430",낙찰(4/5),"1,000,000",47.7%,2001.06.27
울산 8계 2000-32538,답,경남 양산시 교동 292-2,"104,503,000","66,881,920",취하(2/2),0,0%,2001.03.23
울산 3계 2000-32552,대지,경남 양산시 다방동 548,"68,292,000","43,706,880",낙찰(2/3),"44,150,000",64.6%,2001.03.16
울산 7계 2000-32620,답,경남 양산시 동면 사송리 1039-2,"17,920,000","14,336,000",낙찰(1/2),"16,110,000",89.9%,2001.01.31
울산 7계 2000-32620,답,경남 양산시 동면 사송리 1039-3,"35,100,000","28,080,000",낙찰(1/2),"29,150,000",83.0%,2001.01.31
울산 7계 2000-32804,아파트,경남 양산시 평산동 205,"70,000,000","56,000,000",낙찰(1/2),"56,150,000",80.2%,2001.01.31
울산 1계 2000-32873,연립,경남 양산시 하북면 용연리 437 진흥목화빌라 1310호,"40,000,000","20,480,000",낙찰(3/4),"22,500,000",56.3%,2001.04.06
울산 8계 2000-32958,전,경남 양산시 북부동 35,"5,580,000","2,285,560",낙찰(4/5),"2,300,000",41.2%,2001.03.23
울산 2계 2000-32965,근린주택,경남 양산시 평산동 452,"338,091,550","173,102,870",낙찰(3/4),"195,400,000",57.8%,2001.06.08
울산 4계 2000-32972,답,경남 양산시 동면 가산리 1123-2,"83,356,300","53,348,000",낙찰(2/3),"54,000,000",64.8%,2001.02.23
울산 5계 2000-32989,근린상가,경남 양산시 북부동 148-19,"300,000,000","153,600,000",낙찰(3/4),"153,700,000",51.2%,2001.02.15
울산 6계 2000-32996,단독주택,경남 양산시 하북면 용연리 535-1,"63,366,800","63,366,800",낙찰(0/1),"65,100,000",102.7%,2001.03.07
울산 1계 2000-33043,연립,경남 양산시 하북면 순지리 401-2 나동 3층 309호,"48,000,000","24,576,000",낙찰(3/5),"25,600,000",53.3%,2001.06.01
울산 4계 2000-33098,대지,경남 양산시 덕계동 758-4,"1,776,358,400","582,077,000",낙찰(5/6),"653,000,000",36.8%,2001.05.25
울산 1계 2000-33128,다세대,경남 양산시 하북면 양산시신기지구 토지구획,"62,000,000","39,680,000",취하(2/2),0,0%,2001.03.07
