사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
서부 4계 2023-4278,아파트,아파트,아파트,대구,달서구,대구 달서구 유천동 605 대구월배아이파크 113동 9층 904호,"487,000,000","340,900,000",낙찰,"432,259,999",88.80%,2024-08-08,2024_3Q,3
서부 2계 2023-4292,전,전,전,대구,달성군,대구 달성군 유가읍 초곡리 541,"364,743,000","87,575,000",낙찰,"89,010,000",24.40%,2024-11-21,2024_4Q,3
서부 1계 2023-4322,오피스텔(주거),오피스텔,오피스텔(업무용),대구,달성군,대구 달성군 다사읍 매곡리 1575 다사역삼정그린코아더베스트 201동 10층 1009호,"187,000,000","31,429,000",낙찰,"45,100,000",24.10%,2024-12-24,2024_4Q,3
서부 4계 2023-4353,아파트,아파트,아파트,대구,달성군,대구 달성군 다사읍 세천리 1566-1 대구세천한라비발디 108동 17층 1705호,"264,000,000","184,800,000",낙찰,"227,880,000",86.30%,2024-08-08,2024_3Q,3
서부 5계 2023-4360,아파트,아파트,아파트,대구,달서구,대구 달서구 도원동 1443 대곡강산타운 406동 7층 702호,"318,000,000","222,600,000",낙찰,"222,977,977",70.10%,2024-07-09,2024_3Q,3
서부 1계 2023-4377,근린주택,근린주택,근린주택,대구,서구,"대구 서구 비산동 293-25 ,293-54","205,372,600","143,761,000",낙찰,"144,400,000",70.30%,2024-08-27,2024_3Q,3
서부 5계 2023-4414,단독주택,단독,단독주택,대구,서구,"대구 서구 비산동 1284-5 ,1284-7","1,286,398,500","630,335,000",낙찰,"930,000,000",72.30%,2024-11-12,2024_4Q,3
서부 2계 2023-4438,아파트,아파트,아파트,대구,달성군,대구 달성군 논공읍 금포리 금포지구토지구획정리사업지구50블록1로트 우신미가뷰 104동 7층 706호,"210,000,000","102,900,000",낙찰,"141,689,000",67.50%,2024-11-21,2024_4Q,3
서부 4계 2023-4506,아파트,아파트,아파트,대구,달서구,대구 달서구 유천동 605 대구월배아이파크 107동 13층 1303호,"355,000,000","248,500,000",낙찰,"328,700,000",92.60%,2024-09-05,2024_3Q,3
서부 5계 2023-4513,근린주택,근린주택,근린주택,대구,서구,대구 서구 평리동 1334-15,"967,286,800","473,971,000",낙찰,"671,200,000",69.40%,2024-12-10,2024_4Q,3
서부 1계 2023-4520,아파트,아파트,아파트,대구,달서구,대구 달서구 용산동 414-1 성서영남우방타운 105동 3층 301호,"290,000,000","203,000,000",낙찰,"214,888,800",74.10%,2024-11-26,2024_4Q,3
서부 3계 2023-4544,아파트,아파트,아파트,대구,달성군,대구 달성군 논공읍 남리 635 논공주공 103동 8층 803호,"95,000,000","66,500,000",낙찰,"87,500,000",92.10%,2024-09-19,2024_3Q,3
서부 1계 2023-4575,아파트,아파트,아파트,대구,달서구,대구 달서구 장기동 813-1 장기초록나라 105동 13층 1303호,"256,000,000","179,200,000",낙찰,"214,600,000",83.80%,2024-08-27,2024_3Q,3
서부 4계 2023-4605,아파트,아파트,아파트,대구,달서구,대구 달서구 성당동 86-6 대경 A동 2층 206호,"123,000,000","60,270,000",낙찰,"67,277,800",54.70%,2024-10-10,2024_4Q,3
서부 2계 2023-4636,아파트,아파트,아파트,대구,달성군,대구 달성군 다사읍 서재리 145 서재보성타운 101동 2층 202호,"227,000,000","158,900,000",낙찰,"159,200,000",70.10%,2024-08-29,2024_3Q,3
서부 5계 2023-4711,공장,공장(지식산업센터 업무시설),공장,대구,달서구,대구 달서구 파호동 202-6 A동,"4,691,722,610","3,284,206,000",낙찰,"3,550,000,000",75.70%,2024-12-10,2024_4Q,3
서부 1계 2023-4728,아파트,아파트,아파트,대구,달성군,"대구 달성군 화원읍 성산리 501 ,761,483-1,744-123,504,746-1,481-2,470-2,475-1 화원태왕타운 108동 12층 1211호","160,000,000","112,000,000",낙찰,"115,588,770",72.20%,2024-12-24,2024_4Q,3
서부 1계 2023-4773(2),차량,기타토지,기타토지,대구,서구,대구 서구 상리동 295 (주)세화다이캐스팅의 파산관재인에게 보관,"3,000,000","2,100,000",낙찰,"2,210,000",73.70%,2024-07-30,2024_3Q,3
서부 1계 2023-4773(3),차량,기타토지,기타토지,대구,서구,대구 서구 상리동 295 (주)세화다이캐스팅의 파산관재인에게 보관,"4,000,000","1,372,000",낙찰,"1,523,000",38.10%,2024-11-26,2024_4Q,3
서부 2계 2023-4780,아파트,아파트,아파트,대구,달서구,대구 달서구 진천동 72 월배역라온프라이빗 102동 18층 1801호,"340,000,000","238,000,000",낙찰,"289,555,510",85.20%,2024-11-21,2024_4Q,3
