은행명,기준월,지역,구분,용도,현재LTV,시그널,방향,권고LTV,조정폭,3개월갭,3개월평균,6개월평균,12개월평균,36개월평균,60개월평균,3개월건수,6개월건수,12개월건수,36개월건수,60개월건수,판단근거
광주은행,202607,제주,토지,전,55.0,YELLOW,▼,49.0,-6.0,-6.0,49.0,50.36041666666667,49.94251968503937,51.36741573033708,52.76645833333334,17,48,127,356,480,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,충남,주택,아파트,75.0,GREEN,▲,80.0,5.0,5.75,80.7494623655914,80.1826923076923,79.99505617977529,78.56388888888888,77.25698473282442,93,208,445,1728,2620,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 상향 추세 확인"
광주은행,202607,충남,건물,기타건물,65.0,YELLOW,▼,55.0,-10.0,-10.0,55.0015625,55.263636363636365,55.25789473684211,57.943689320388344,59.71079136690647,64,66,76,103,139,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,충북,토지,임야,60.0,YELLOW,▼,52.7,-7.3,-7.29,52.708333333333336,54.58518518518518,55.325,57.1353711790393,58.7313829787234,12,27,60,229,376,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
광주은행,202607,충북,토지,답,70.0,YELLOW,▼,59.0,-11.0,-11.01,58.986666666666665,59.62580645161291,63.46447368421053,66.26753731343284,69.09529147982063,15,31,76,268,446,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,경기,건물,공장,70.0,YELLOW,▼,62.4,-7.6,-7.56,62.435668789808915,63.10822368421053,64.30674955595026,66.38148464163822,68.00984308131241,157,304,563,1172,1402,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,경기,토지,답,65.0,YELLOW,▼,59.1,-5.9,-5.88,59.11666666666666,60.44,61.27553191489361,63.28597842835131,64.82423038728898,36,75,188,649,1007,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,경기,건물,다가구,65.0,YELLOW,▼,58.8,-6.2,-6.2,58.800000000000004,60.15806451612904,61.06851851851852,63.41891891891892,65.22435897435898,18,31,54,111,156,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,광역시,토지,나대지,65.0,YELLOW,▼,56.5,-8.5,-8.53,56.46666666666667,60.268421052631574,60.49125,62.746078431372545,64.353711790393,18,38,80,306,458,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,광역시,건물,단독주택,65.0,YELLOW,▼,57.8,-7.2,-7.15,57.84571428571428,59.01764705882353,59.961111111111116,61.789897260273975,63.258293838862556,35,68,162,584,844,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,광역시,건물,근린주택,65.0,YELLOW,▼,57.8,-7.2,-7.17,57.83076923076923,61.35294117647059,61.14078947368421,62.87905759162304,63.69816513761468,13,34,76,191,218,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,대전,건물,아파트,75.0,GREEN,▲,80.4,5.4,7.12,82.1203125,78.58979591836736,80.40584415584415,81.2891100702576,80.60991884580703,64,147,308,854,1109,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 상향 추세 확인"
전북은행,202607,대전,건물,오피스텔(업무용),55.0,YELLOW,▼,48.3,-6.7,-6.66,48.34166666666667,50.93333333333333,52.083333333333336,54.68636363636363,54.702127659574465,24,33,36,88,94,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,서울,건물,아파트,80.0,GREEN,▲,89.2,9.2,12.73,92.7280487804878,89.37083333333334,89.18220640569395,87.47730627306274,86.59666666666668,82,192,562,2710,3180,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 10%p 이상 차이, 건수 충족, 상향 추세 확인"
전북은행,202607,세종,건물,아파트,75.0,GREEN,▲,86.6,11.6,12.16,87.16000000000001,84.64878048780487,86.56851851851852,83.31828908554573,82.3204081632653,15,41,108,339,392,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 10%p 이상 차이, 건수 충족, 상향 추세 확인"
전북은행,202607,전주,건물,근린상가,50.0,YELLOW,▼,42.5,-7.5,-7.49,42.50555555555556,45.72162162162162,48.23058823529412,47.5963133640553,48.06844106463878,18,37,85,217,263,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 5%p 이상 차이, 건수 충족, 하향 추세 확인"
전북은행,202607,전주,건물,아파트,75.0,GREEN,▲,86.4,11.4,11.04,86.04117647058824,84.03548387096774,86.35199999999999,85.61216216216216,84.44612068965517,17,31,75,296,464,"3/6/12개월 가중평균 낙찰가율이 기존 LTV와 10%p 이상 차이, 건수 충족, 상향 추세 확인"
