사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
광주 2계 2002-3066,상가,근린상가,근린상가,광주,서구,광주 서구 치평동 1166-7 호반 상가동 1층 107호,"55,000,000","35,200,000",낙찰,"37,510,000",68.20%,2003-10-07,2003_4Q,3
광주 8계 2002-3745,전,전,전,광주,북구,광주 북구 삼각동 329,"24,780,000","4,548,000",낙찰,"5,670,000",22.90%,2003-11-12,2003_4Q,3
광주 5계 2002-4489(1),답,답,답,광주,광산구,광주 광산구 대산동 619,"34,580,000","14,163,000",낙찰,"15,010,000",43.40%,2003-10-21,2003_4Q,3
광주 2계 2002-5130,아파트,아파트,아파트,광주,남구,광주 남구 월산동 284 덕림제일파크맨션 102동 107호,"55,000,000","35,200,000",낙찰,"41,510,000",75.50%,2003-10-07,2003_4Q,3
광주 1계 2002-6478(2),아파트,아파트,아파트,광주,북구,광주 북구 일곡동 816-3 동아 103동 204호,"115,000,000","47,104,000",낙찰,"56,360,000",49.00%,2003-10-13,2003_4Q,3
광주 8계 2002-6829(1),임야,임야,임야,광주,남구,광주 남구 임암동 산6,"234,446,000","120,037,000",변경,0,0%,2003-12-17,2003_4Q,3
광주 8계 2002-6829(2),임야,임야,임야,광주,남구,광주 남구 임암동 산34,"429,711,000","220,012,000",변경,0,0%,2003-12-17,2003_4Q,3
광주 6계 2002-7129,아파트상가,아파트상가,기타토지,광주,동구,광주 동구 금동 211-10 코밀상가 101동 4층 403호,"52,500,000","3,946,000",낙찰,"4,010,000",7.60%,2003-12-12,2003_4Q,3
광주 2계 2002-7167(2),상가,근린상가,근린상가,광주,동구,광주 동구 금동 211-10 코밀8층819호,"80,000,000","6,871,930",낙찰,"6,888,000",8.60%,2003-11-18,2003_4Q,3
광주 3계 2002-7174,아파트,아파트,아파트,광주,동구,"광주 동구 금동 211-10 ,-11 코밀상가 101동 605호","34,000,000","2,555,000",낙찰,"2,600,000",7.60%,2003-11-04,2003_4Q,3
광주 4계 2002-8689(1),다가구,다가구,다가구,광주,북구,광주 북구 문흥동 988-8,"241,642,800","123,721,110",낙찰,"154,000,000",63.70%,2003-10-14,2003_4Q,3
광주 2계 2002-8924(2),대지,나대지,나대지,광주,남구,광주 남구 방림동 119-3,"682,840,000","682,840,000",변경,0,0%,2003-10-07,2003_4Q,3
광주 2계 2002-8924(3),답,답,답,광주,북구,광주 북구 충효동 308,"50,936,600","50,936,600",변경,0,0%,2003-10-07,2003_4Q,3
광주 2계 2002-9088(46),아파트상가,아파트상가,기타토지,광주,광산구,"광주 광산구 우산동 1050-2 ,-5 장미빌라트 상가동 1층 201호","72,000,000","18,874,360",낙찰,"18,880,000",26.20%,2003-11-18,2003_4Q,3
