사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 1계 2007-16740,단독주택,단독,단독주택,울산,울주군,울산 울주군 서생면 신암리 379-1,"121,300,600","77,632,000",낙찰,"78,100,000",64.4%,2008-01-09,2008_1Q,3
울산 6계 2007-16757,아파트,아파트,아파트,울산,북구,"울산 북구 매곡동 532 ,542-23, 542-24, 542-25 매곡현대 101동 7층 706호","62,000,000","49,600,000",낙찰,"53,230,000",85.9%,2008-02-14,2008_1Q,3
울산 2계 2007-16764,아파트,아파트,아파트,울산,중구,울산 중구 복산동 431 동아파크 2층 206호,"105,000,000","84,000,000",낙찰,"106,899,000",101.8%,2008-04-18,2008_2Q,3
울산 1계 2007-16801,아파트,아파트,아파트,울산,남구,울산 남구 선암동 167 한양 나동 1층 102호,"54,000,000","54,000,000",낙찰,"58,560,000",108.4%,2008-04-11,2008_2Q,3
울산 5계 2007-16832,다세대,다세대주택,다세대,울산,중구,울산 중구 태화동 431-26 대원빌라 2층 202호,"115,000,000","73,600,000",취하,0,0%,2008-01-24,2008_1Q,3
울산 7계 2007-16917(1),임야,임야,임야,울산,울주군,울산 울주군 웅촌면 은현리 산83-1,"25,948,900","16,607,000",낙찰,"20,150,000",77.7%,2008-01-25,2008_1Q,3
울산 1계 2007-16931,아파트,아파트,아파트,울산,울주군,울산 울주군 청량읍 삼정리 755 외 5필지 쌍용하나빌리지 105동 10층 1006호,"110,000,000","88,000,000",취하,0,0%,2008-01-09,2008_1Q,3
울산 5계 2007-17026(1),대지,나대지,나대지,울산,남구,울산 남구 신정동 1323-50,"2,013,000,000","2,013,000,000",취하,0,0%,2008-02-21,2008_1Q,3
울산 8계 2007-17095,아파트,아파트,아파트,울산,북구,울산 북구 달천동 107 그린카운티 101동 3층 305호,"160,000,000","128,000,000",낙찰,"132,777,000",83.0%,2008-05-28,2008_2Q,3
울산 1계 2007-17101,다세대,다세대주택,다세대,울산,북구,"울산 북구 화봉동 967 ,971-1 보람빌 시동 5층 402호","120,000,000","76,800,000",낙찰,"93,770,000",78.1%,2008-01-09,2008_1Q,3
울산 2계 2007-17118,근린주택,근린주택,근린주택,울산,북구,울산 북구 신천동 222-1,"478,497,800","478,497,800",취하,0,0%,2008-06-26,2008_2Q,3
울산 3계 2007-17125,아파트,아파트,아파트,울산,북구,"울산 북구 중산동 736 ,737-19, 1218-5 백산그린타워 101동 4층 403호","80,000,000","64,000,000",낙찰,"72,530,000",90.7%,2008-03-14,2008_1Q,3
울산 4계 2007-17132,답,답,답,울산,울주군,울산 울주군 서생면 나사리 400-1,"509,320,000","325,965,000",낙찰,"376,100,000",73.8%,2008-02-12,2008_1Q,3
울산 5계 2007-17156,아파트,아파트,아파트,울산,북구,울산 북구 천곡동 940-1 아남임대 102동 9층 911호,"54,000,000","34,560,000",낙찰,"43,989,000",81.5%,2008-01-24,2008_1Q,3
울산 4계 2007-17224,단독주택,단독,단독주택,울산,남구,울산 남구 신정동 480-9,"167,031,020","167,031,020",낙찰,"223,890,000",134.0%,2008-01-10,2008_1Q,3
울산 2계 2007-17293,근린주택,근린주택,근린주택,울산,중구,"울산 중구 학성동 432-45 , 432-442","506,170,340","259,159,000",낙찰,"325,980,000",64.4%,2008-02-13,2008_1Q,3
울산 3계 2007-17309,아파트,아파트,아파트,울산,북구,울산 북구 천곡동 940-6 농소대동한마음타운 103동 1층 106호,"74,000,000","47,360,000",낙찰,"48,770,000",65.9%,2008-03-14,2008_1Q,3
울산 8계 2007-17323,다세대,다세대주택,다세대,울산,울주군,울산 울주군 온산읍 덕신리 437-2 태광빌라 4층 501호,"33,000,000","21,120,000",낙찰,"21,668,000",65.7%,2008-01-30,2008_1Q,3
울산 2계 2007-17347,아파트,아파트,아파트,울산,울주군,울산 울주군 범서읍 구영리 796-2 한신 203동 6층 606호,"75,000,000","48,000,000",낙찰,"58,810,000",78.4%,2008-01-16,2008_1Q,3
울산 4계 2007-17385,임야,임야,임야,울산,울주군,울산 울주군 언양읍 다개리 산160,"264,847,194","86,786,000",낙찰,"88,480,000",33.4%,2008-04-10,2008_2Q,3
울산 5계 2007-17392,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 상북면 덕현리 105,"236,896,300","151,614,000",낙찰,"162,700,000",68.7%,2008-01-24,2008_1Q,3
울산 4계 2007-17422,임야,임야,임야,울산,울주군,울산 울주군 상북면 산전리 690-11,"166,727,400","166,727,400",취하,0,0%,2008-01-10,2008_1Q,3
울산 9계 2007-17545(1),중기,기타토지,기타토지,울산,울주군,울산 울주군 청량읍 덕하리 414 백양주차장내 보관,"100,000,000","80,000,000",낙찰,"81,270,000",81.3%,2008-06-24,2008_2Q,3
울산 9계 2007-17545(3),중기,기타토지,기타토지,울산,울주군,울산 울주군 청량읍 덕하리 414 백양주차장내 보관,"100,000,000","80,000,000",낙찰,"80,300,000",80.3%,2008-06-24,2008_2Q,3
울산 9계 2007-17545(4),중기,기타토지,기타토지,울산,울주군,울산 울주군 청량읍 덕하리 414 백양주차장내 보관,"100,000,000","80,000,000",낙찰,"80,020,000",80.0%,2008-06-24,2008_2Q,3
울산 9계 2007-17545(5),중기,기타토지,기타토지,울산,울주군,울산 울주군 청량읍 덕하리 414 백양주차장내 보관,"105,000,000","84,000,000",낙찰,"85,240,000",81.2%,2008-06-24,2008_2Q,3
울산 2계 2007-17590,근린상가,근린상가,근린상가,울산,울주군,울산 울주군 웅촌면 은현리 157 에이동호,"362,187,120","231,800,000",취하,0,0%,2008-01-16,2008_1Q,3
울산 1계 2007-17651,아파트,아파트,아파트,울산,북구,울산 북구 신천동 394-1 한라신천지타운 101동 1층 108호,"85,000,000","54,400,000",낙찰,"69,470,000",81.7%,2008-01-09,2008_1Q,3
울산 4계 2007-17712,아파트,아파트,아파트,울산,울주군,울산 울주군 삼남읍 교동리 1522-5 태봉파크 101동 15층 1509호,"58,000,000","46,400,000",낙찰,"53,110,000",91.6%,2008-01-10,2008_1Q,3
울산 8계 2007-17729(2),아파트,아파트,아파트,울산,남구,울산 남구 무거동 478-1 울산옥현2주공 203동 13층 1301호,"140,000,000","140,000,000",기각,0,0%,2008-05-14,2008_2Q,3
울산 6계 2007-17743,전,전,전,울산,중구,울산 중구 약사동 861,"1,232,100,000","630,835,000",낙찰,"811,110,000",65.8%,2008-03-17,2008_1Q,3
울산 2계 2007-17798(1),임야,임야,임야,울산,울주군,울산 울주군 삼남읍 가천리 산104-6,"298,531,000","298,531,000",낙찰,"521,000,000",174.5%,2008-06-04,2008_2Q,3
울산 2계 2007-17798(2),전,전,전,울산,울주군,울산 울주군 범서읍 구영리 239-3,"225,666,000","225,666,000",취하,0,0%,2008-03-13,2008_1Q,3
울산 4계 2007-17811(1),주상복합(상가),기타토지,기타토지,울산,남구,울산 남구 야음동 832-5 효제로즈빌 2층 205호,"115,000,000","92,000,000",낙찰,"100,018,000",87.0%,2008-02-12,2008_1Q,3
울산 4계 2007-17811(2),주상복합(상가),기타토지,기타토지,울산,남구,울산 남구 야음동 832-5 효제로즈빌 3층 305호,"115,000,000","92,000,000",낙찰,"100,018,000",87.0%,2008-02-12,2008_1Q,3
울산 8계 2007-17873,대지,나대지,나대지,울산,동구,울산 동구 방어동 248-1,"166,740,000","133,392,000",낙찰,"147,700,000",88.6%,2008-01-30,2008_1Q,3
울산 2계 2007-17897,다세대,다세대주택,다세대,울산,중구,울산 중구 동동 202 2층 202호,"43,000,000","27,520,000",낙찰,"32,590,000",75.8%,2008-02-13,2008_1Q,3
울산 6계 2007-17958(1),다세대,다세대주택,다세대,울산,울주군,울산 울주군 삼남읍 방기리 34 럭1-2롯트환경황토빌 2층 201호,"55,000,000","28,160,000",낙찰,"37,500,000",68.2%,2008-03-17,2008_1Q,3
울산 6계 2007-17958(2),다세대,다세대주택,다세대,울산,울주군,울산 울주군 삼남읍 방기리 34 럭1-2롯트환경황토빌 3층 301호,"55,000,000","35,200,000",낙찰,"36,730,000",66.8%,2008-02-14,2008_1Q,3
울산 6계 2007-17958(3),다세대,다세대주택,다세대,울산,울주군,울산 울주군 삼남읍 방기리 34 럭1-2롯트환경황토빌 4층 401호,"55,000,000","44,000,000",낙찰,"50,000,000",90.9%,2008-01-15,2008_1Q,3
울산 6계 2007-17958(4),다세대,다세대주택,다세대,울산,울주군,울산 울주군 삼남읍 방기리 34 럭1-2롯트환경황토빌 5층 501호,"55,000,000","35,200,000",낙찰,"41,300,000",75.1%,2008-02-14,2008_1Q,3
울산 6계 2007-17958(5),다세대,다세대주택,다세대,울산,울주군,울산 울주군 삼남읍 방기리 34 럭1-2롯트환경황토빌 5층 502호,"55,000,000","28,160,000",낙찰,"36,500,000",66.4%,2008-03-17,2008_1Q,3
울산 4계 2007-17965(1),임야,임야,임야,울산,북구,울산 북구 천곡동 산88,"131,894,400","54,025,000",낙찰,"62,399,900",47.3%,2008-04-10,2008_2Q,3
울산 4계 2007-17965(2),임야,임야,임야,울산,북구,울산 북구 천곡동 산147-4,"43,520,000","34,816,000",낙찰,"36,200,000",83.2%,2008-01-10,2008_1Q,3
