사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
남부 15계 2024-120917,연립,연립주택,연립·빌라,서울,강서구,서울 강서구 화곡동 1162 우장산파크빌 2층 207호,"206,000,000","105,472,000",낙찰,"185,000,000",89.8%,2026-04-23,2026_2Q,0
남부 9계 2024-120948,답,답,답,서울,영등포구,서울 영등포구 신길동 388-13,"1,450,460,000","1,450,460,000",낙찰,"1,501,000,000",103.5%,2026-04-07,2026_2Q,0
남부 15계 2024-121811,다세대,다세대주택,다세대,서울,금천구,"서울 금천구 독산동 972-32 ,972-55 블루972 5층 504호","335,000,000","56,203,000",낙찰,"56,203,000",16.8%,2026-04-23,2026_2Q,0
남부 7계 2024-123657,다세대,다세대주택,다세대,서울,강서구,서울 강서구 화곡동 410-212 광명빌라 2층 202호,"200,000,000","17,179,000",낙찰,"17,200,000",8.6%,2026-04-21,2026_2Q,0
남부 2계 2024-124230,아파트,아파트,아파트,서울,구로구,서울 구로구 고척동 141-1 서울가든 4동 9층 905호,"730,000,000","584,000,000",낙찰,"664,410,000",91.0%,2026-04-08,2026_2Q,0
남부 14계 2024-127659,오피스텔(주거),오피스텔,오피스텔(업무용),서울,구로구,서울 구로구 구로동 98-4 대림역와이즈플레이스 6층 602호,"147,000,000","30,828,000",유찰,0,0%,2026-04-22,2026_2Q,0
남부 16계 2024-127741,다세대,다세대주택,다세대,서울,강서구,"서울 강서구 화곡동 1037-10 ,1037-11 트리빌리지 5층 502호","290,000,000","290,000,000",낙찰,"291,500,000",100.5%,2026-04-28,2026_2Q,0
남부 14계 2024-127888,오피스텔(주거),오피스텔,오피스텔(업무용),서울,양천구,서울 양천구 신정동 1290-4 신정동대우미래사랑5차 3층 318호,"442,000,000","282,880,000",기각,0,0%,2026-04-17,2026_2Q,0
남부 3계 2024-128843,다세대,다세대주택,다세대,서울,강서구,"서울 강서구 방화동 612-197 ,612-222 마곡킹덤비바체 10층 1004호","230,000,000","19,757,000",유찰,0,0%,2026-04-30,2026_2Q,0
남부 9계 2024-129297,다세대,다세대주택,다세대,서울,구로구,"서울 구로구 개봉동 139-89 ,139-90 다빈빌 1층 101호","175,000,000","140,000,000",낙찰,"150,000,000",85.7%,2026-04-07,2026_2Q,0
